id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info,novedad
40_1,Vacuno,Carpaccio de vacuno,Bandeja 110 g,"4,10 €",,https://prod-mercadona.imgix.net/images/920087fbcb8bea3e467e0217a5a6605b.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/baaca712fb6ea1078afa60063293e6fd.jpg?fit=crop&h=600&w=600,"Carpaccio de vacuno, Bandeja, 110 Gramos, 4,10€ por Unidad",False
40_2,Vacuno,Filetes hígado de vacuno,Bandeja 440 g aprox.,"4,58 €",,https://prod-mercadona.imgix.net/images/e27b0171a2d1096ec088c36d580dd98c.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/2751209f7c215d52b2309259b4594242.jpg?fit=crop&h=600&w=600,"Filetes hígado de vacuno, Bandeja, 440 Gramos aprox., 4,58€ por Unidad",False
40_3,Vacuno,Tacos de vacuno marinado para guisar,Bandeja 600 g aprox.,"9,72 €",,https://prod-mercadona.imgix.net/images/11d48444a3718c5ed5a2305a7ec166f9.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/e85ed8841233548e53d68a670dc3b8a3.jpg?fit=crop&h=600&w=600,"Tacos de vacuno marinado para guisar, Bandeja, 600 Gramos aprox., 9,72€ por Unidad",False
40_4,Vacuno,Filetes de vacuno marinado extra tiernos,Bandeja 500 g aprox.,"8,85 €",,https://prod-mercadona.imgix.net/images/be858d59782ec94b3fd348008807287f.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/0c50ad5a454efab6db1d015929887d79.jpg?fit=crop&h=600&w=600,"Filetes de vacuno marinado extra tiernos, Bandeja, 500 Gramos aprox., 8,85€ por Unidad",False
40_5,Vacuno,Steak Tartar de vacuno marinado,Bandeja 200 g,"5,40 €",,https://prod-mercadona.imgix.net/images/894f148b982484d4dcb8451539723a46.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/676230b9c658f113e98b77a0880910f7.jpg?fit=crop&h=600&w=600,"Steak Tartar de vacuno marinado, Bandeja, 200 Gramos, 5,40€ por Unidad",False
40_6,Vacuno,Entrecot de vacuno añojo,Paquete 250 g aprox.,"6,63 €",,https://prod-mercadona.imgix.net/images/f1689d147753c4db994079c174ab9673.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/455ffc26abfacc6fa5ecf569287bd404.jpg?fit=crop&h=600&w=600,"Entrecot de vacuno añojo, Paquete, 250 Gramos aprox., 6,63€ por Unidad",False
40_7,Vacuno,Lomo de vacuno añojo,Paquete 337 g aprox.,"7,92 €",,https://prod-mercadona.imgix.net/images/7d534c725ee434cc5c63c346fefb446d.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/8bf05fd233b346a2cf64efe84e0f3432.jpg?fit=crop&h=600&w=600,"Lomo de vacuno añojo, Paquete, 337 Gramos aprox., 7,92€ por Unidad",False
40_8,Vacuno,Solomillo de vacuno,Paquete 285 g aprox.,"11,80 €",,https://prod-mercadona.imgix.net/images/4d2a9c0c311d70e2ddd490a50f5fd39b.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/e5927750565ee91472520868cc2f2273.jpg?fit=crop&h=600&w=600,"Solomillo de vacuno, Paquete, 285 Gramos aprox., 11,80€ por Unidad",False
40_9,Vacuno,Filetes de vacuno añojo para plancha,Bandeja 390 g aprox.,"7,41 €",,https://prod-mercadona.imgix.net/images/28c1933c0ccd355992aabcd1663286d1.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/bfa5ed3e7ec21238e5b249d019bf15d5.jpg?fit=crop&h=600&w=600,"Filetes de vacuno añojo para plancha, Bandeja, 390 Gramos aprox., 7,41€ por Unidad",False
40_10,Vacuno,Escalopín de vacuno añojo para plancha,Bandeja 410 g aprox.,"7,58 €",,https://prod-mercadona.imgix.net/images/87cf6d5942c81820a7ccc300218fe608.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/a5e3c7e1a565dd1c487a1abc58ef867e.jpg?fit=crop&h=600&w=600,"Escalopín de vacuno añojo para plancha, Bandeja, 410 Gramos aprox., 7,58€ por Unidad",False
