id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url
1,Yogures desnatados,Yogur natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,6 ud. x 125 g,"0,99 €",,https://prod-mercadona.imgix.net/images/33f2d65c7db67c6b9379b6627e67a1f7.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/ddc33d276861fd539dfd6d06251aa8f6.jpg?fit=crop&h=600&w=600
2,Yogures desnatados,Postre lácteo cremoso natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,6 ud. x 125 g,"1,37 €",,https://prod-mercadona.imgix.net/images/9031ccad52b87cc4f7b907043fb06df7.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/cccd30a0e538f6cce403b438fd05f4eb.jpg?fit=crop&h=600&w=600
3,Yogures desnatados,Postre lácteo con fresa +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 120 g,"1,47 €",,https://prod-mercadona.imgix.net/images/07f80bc46f0ec301f417a057280bedd7.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/5c85632a2f7a8bb3cb3966c6518839b7.jpg?fit=crop&h=300&w=300
4,Yogures desnatados,Yogur natural Hacendado 0% m.g 0% sin azúcares,6 ud. x 125 g,"0,99 €",,https://prod-mercadona.imgix.net/images/61a5b51a9ed495402f8c08319d52eb43.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/7a6cd04d4d44031db077293124c1f245.jpg?fit=crop&h=600&w=600
5,Yogures desnatados,Postre lácteo con arándanos +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 120 g,"1,47 €",,https://prod-mercadona.imgix.net/images/43a9e33b7744d75707831d5318a8bd19.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/a793f70d9747b469df167caa51175f42.jpg?fit=crop&h=300&w=300
6,Yogures desnatados,Postre lácteo con fruta Hacendado 0% m.g 0% sin azúcares añadidos,8 ud. x 125 g,"2,00 €",,https://prod-mercadona.imgix.net/images/01ef76f0c2b6dbdf1c6ccf8384805fdf.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/01ef76f0c2b6dbdf1c6ccf8384805fdf.jpg?fit=crop&h=600&w=600
7,Yogures desnatados,Yogur sabores Hacendado 0% m.g 0% sin azúcares añadidos,8 ud. x 125 g,"1,61 €",,https://prod-mercadona.imgix.net/images/5dada7f732e10133a9348d7c317c4c14.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/909be0de12428afb4fae13edd333f883.jpg?fit=crop&h=300&w=300
8,Yogures desnatados,Yogur sabor coco Hacendado 0% m.g 0% sin azúcares añadidos,4 ud. x 125 g,"0,90 €",,https://prod-mercadona.imgix.net/images/922fef002acfb4e47e853eb0b657fcdf.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/66a7b03e64cf1aca336590f26e1ac6f4.jpg?fit=crop&h=300&w=300
9,Yogures desnatados,Yogur sabor fresa Hacendado 0% m.g 0% sin azúcares añadidos,4 ud. x 125 g,"0,90 €",,https://prod-mercadona.imgix.net/images/eba4d8b6922f82c64788aac3dc634f4c.jpg?fit=crop&h=300&w=300,
10,Yogures desnatados,Yogur sabor limón Hacendado 0% m.g 0% sin azúcares añadidos,4 ud. x 125 g,"0,90 €",,https://prod-mercadona.imgix.net/images/83dab01ea89d014ad0c4a56c9da882ca.jpg?fit=crop&h=300&w=300,
11,Yogures desnatados,Postre lácteo sin lactosa natural Hacendado 0% m.g 0% azúcares añadidos,4 ud. x 125 g,"1,35 €",,https://prod-mercadona.imgix.net/images/0d226d4379884475431e18647cf97f81.jpg?fit=crop&h=300&w=300,
12,Yogures desnatados,Postre lácteo con puré mango y maracuya +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 120 g,"1,47 €",,https://prod-mercadona.imgix.net/images/76f2b8b32ae8faca135271b27296c3a5.jpg?fit=crop&h=300&w=300,
13,Yogures desnatados,Postre lácteo natural +Proteínas Hacendado 0% m.g 10 g proteínas,Bote 500 g,"1,41 €",,https://prod-mercadona.imgix.net/images/d18e36aefeab802135efb2b717c70536.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/19de1db7935f63383c40f8baa2923984.jpg?fit=crop&h=300&w=300
14,Yogures desnatados,Postre lácteo natural +Proteínas Hacendado 0% m.g 12 g proteínas,4 ud. x 120 g,"1,41 €",,https://prod-mercadona.imgix.net/images/e3ae024200bd6e46c8490761383a17a5.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/0b5f72c8de5ad4822c6f40c0621737eb.jpg?fit=crop&h=600&w=600
15,Yogures desnatados,Postre lácteo sabor coco +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 120 g,"1,47 €",,https://prod-mercadona.imgix.net/images/5e18072a424c6218f2bdd6d5ee075e44.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/5e18072a424c6218f2bdd6d5ee075e44.jpg?fit=crop&h=600&w=600
